line	cputime	time	rxn	mol	mol_id
1	-18010.056000	0.292648	initiate	mrna	0
2	-18010.056000	1.594548	elongate_1	mrna	0
3	-18010.056000	1.613342	elongate_2	mrna	0
4	-18010.056000	2.749453	elongate_3	mrna	0
5	-18010.056000	2.775806	elongate_4	mrna	0
6	-18010.056000	2.836740	elongate_5	mrna	0
7	-18010.056000	4.204249	elongate_6	mrna	0
8	-18010.055000	5.146114	elongate_7	mrna	0
9	-18010.055000	5.518319	elongate_8	mrna	0
10	-18010.055000	5.687519	elongate_9	mrna	0
11	-18010.055000	6.084464	elongate_10	mrna	0
12	-18010.055000	6.319941	initiate	mrna	0
13	-18010.055000	6.357700	elongate_1	mrna	0
14	-18010.054000	7.686232	elongate_11	mrna	0
15	-18010.054000	8.206888	elongate_2	mrna	0
16	-18010.054000	8.849693	elongate_12	mrna	0
17	-18010.054000	8.891073	elongate_3	mrna	0
18	-18010.054000	10.725199	elongate_13	mrna	0
19	-18010.054000	11.438195	elongate_14	mrna	0
20	-18010.054000	12.220982	elongate_4	mrna	0
21	-18010.054000	12.380819	elongate_15	mrna	0
22	-18010.053000	13.903161	elongate_16	mrna	0
23	-18010.053000	14.594215	elongate_17	mrna	0
24	-18010.053000	14.907661	elongate_5	mrna	0
25	-18010.053000	15.223335	elongate_18	mrna	0
26	-18010.053000	15.963149	elongate_19	mrna	0
27	-18010.053000	16.447166	elongate_6	mrna	0
28	-18010.053000	16.523777	elongate_20	mrna	0
29	-18010.053000	16.574315	elongate_7	mrna	0
30	-18010.053000	17.510316	elongate_8	mrna	0
31	-18010.053000	17.693047	elongate_21	mrna	0
32	-18010.052000	17.765151	elongate_22	mrna	0
33	-18010.052000	17.828485	elongate_23	mrna	0
34	-18010.052000	18.200681	elongate_9	mrna	0
35	-18010.052000	18.783412	initiate	mrna	0
36	-18010.052000	20.005434	elongate_24	mrna	0
37	-18010.052000	20.349674	elongate_10	mrna	0
38	-18010.052000	20.662784	elongate_25	mrna	0
39	-18010.052000	21.003751	elongate_26	mrna	0
40	-18010.052000	21.119969	elongate_27	mrna	0
41	-18010.052000	21.148756	elongate_28	mrna	0
42	-18010.052000	21.592074	elongate_1	mrna	0
43	-18010.051000	21.653691	elongate_11	mrna	0
44	-18010.051000	21.924941	elongate_12	mrna	0
45	-18010.051000	22.232143	elongate_29	mrna	0
46	-18010.051000	22.954229	elongate_13	mrna	0
47	-18010.051000	23.451599	elongate_2	mrna	0
48	-18010.051000	23.711381	elongate_30	mrna	0
49	-18010.051000	24.425905	elongate_31	mrna	0
50	-18010.051000	24.582178	elongate_14	mrna	0
51	-18010.051000	24.928391	elongate_15	mrna	0
52	-18010.050000	25.498213	elongate_3	mrna	0
53	-18010.050000	26.041138	elongate_16	mrna	0
54	-18010.050000	26.094751	elongate_32	mrna	0
55	-18010.050000	26.789209	elongate_17	mrna	0
56	-18010.050000	27.177848	elongate_4	mrna	0
